LocationID,Location_Code,Location_name,Code
1,HQT,Head Office,TZ1
6,UPG,Upanga Easy Operation Center,201
7,KRK,Kariakoo Branch,005
8,QTC,Quality Center Branch,006
9,ARU,Arusha Branch,007
11,EASY,Easy Banking Operation,201
12,UHU,Uhuru Heights Branch,004
13,DOM,Dodoma Branch,010
14,MWZ,Mwanza Branch,011
15,TGT,Tegeta Branch,009
16,ZOS,Zonal Offices Sitelites,201
